Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
227,TUV,Tuvalu,Funafuti,Oceania," 11,312 "," 11,069 "," 10,877 "," 10,550 "," 9,638 "," 9,182 "," 7,731 "," 5,814 ",26,435.0769,1.0096,0
31,UGA,Uganda,Kampala,Africa," 47,249,585 "," 44,404,611 "," 37,477,356 "," 32,341,728 "," 24,020,697 "," 17,586,630 "," 13,284,026 "," 10,317,212 ",241550,195.61,1.0304,0.59
38,UKR,Ukraine,Kiev,Europe," 39,701,739 "," 43,909,666 "," 44,982,564 "," 45,683,020 "," 48,879,755 "," 51,589,817 "," 49,973,920 "," 47,279,086 ",603500,65.7858,0.912,0.5
97,ARE,United Arab Emirates,Abu Dhabi,Asia," 9,441,129 "," 9,287,289 "," 8,916,899 "," 8,481,771 "," 3,275,333 "," 1,900,151 "," 1,014,048 "," 298,084 ",83600,112.9322,1.0081,0.12
21,GBR,United Kingdom,London,Europe," 67,508,936 "," 67,059,474 "," 65,224,364 "," 62,760,039 "," 58,850,043 "," 57,210,442 "," 56,326,328 "," 55,650,166 ",242900,277.9289,1.0034,0.85
3,USA,United States,"Washington, D.C.",North America," 338,289,857 "," 335,942,003 "," 324,607,776 "," 311,182,845 "," 282,398,554 "," 248,083,732 "," 223,140,018 "," 200,328,340 ",9372610,36.0935,1.0038,4.24
200,VIR,United States Virgin Islands,Charlotte Amalie,North America," 99,465 "," 100,442 "," 102,803 "," 106,142 "," 108,185 "," 100,685 "," 96,640 "," 63,446 ",347,286.6427,0.9937,0
133,URY,Uruguay,Montevideo,South America," 3,422,794 "," 3,429,086 "," 3,402,818 "," 3,352,651 "," 3,292,224 "," 3,117,012 "," 2,953,750 "," 2,790,265 ",181034,18.9069,0.999,0.04
43,UZB,Uzbekistan,Tashkent,Asia," 34,627,652 "," 33,526,656 "," 30,949,417 "," 28,614,227 "," 24,925,554 "," 20,579,100 "," 15,947,129 "," 12,011,361 ",447400,77.3975,1.016,0.43
181,VUT,Vanuatu,Port-Vila,Oceania," 326,740 "," 311,685 "," 276,438 "," 245,453 "," 192,074 "," 150,882 "," 118,156 "," 87,019 ",12189,26.8061,1.0238,0
234,VAT,Vatican City,Vatican City,Europe, 510 , 520 , 564 , 596 , 651 , 700 , 733 , 752 ,1,510,0.998,0
51,VEN,Venezuela,Caracas,South America," 28,301,696 "," 28,490,453 "," 30,529,716 "," 28,715,022 "," 24,427,729 "," 19,750,579 "," 15,210,443 "," 11,355,475 ",916445,30.882,1.0036,0.35
16,VNM,Vietnam,Hanoi,Asia," 98,186,856 "," 96,648,685 "," 92,191,398 "," 87,411,012 "," 79,001,142 "," 66,912,613 "," 52,968,270 "," 41,928,849 ",331212,296.4472,1.0074,1.23
226,WLF,Wallis and Futuna,Mata-Utu,Oceania," 11,572 "," 11,655 "," 12,182 "," 13,142 "," 14,723 "," 13,454 "," 11,315 "," 9,377 ",142,81.493,0.9953,0
172,ESH,Western Sahara,El Aaiún,Africa," 575,986 "," 556,048 "," 491,824 "," 413,296 "," 270,375 "," 178,529 "," 116,775 "," 76,371 ",266000,2.1654,1.0184,0.01
46,YEM,Yemen,Sanaa,Asia," 33,696,614 "," 32,284,046 "," 28,516,545 "," 24,743,946 "," 18,628,700 "," 13,375,121 "," 9,204,938 "," 6,843,607 ",527968,63.8232,1.0217,0.42
63,ZMB,Zambia,Lusaka,Africa," 20,017,675 "," 18,927,715 "," 16,248,230 "," 13,792,086 "," 9,891,136 "," 7,686,401 "," 5,720,438 "," 4,281,671 ",752612,26.5976,1.028,0.25
74,ZWE,Zimbabwe,Harare,Africa," 16,320,537 "," 15,669,666 "," 14,154,937 "," 12,839,771 "," 11,834,676 "," 10,113,893 "," 7,049,926 "," 5,202,918 ",390757,41.7665,1.0204,0.2
